Username,Password
jsmith,password123
akumar,Str0ng&Secure99!
bwayne,qwerty
ctorres,An0ther$Val1dPass#
dparker,admin
egreen,Tr0ub4dor&3xyz
fhall,welcome
gpatel,C0mplex!Passw0rd99
hnguyen,dragon
ilewis,Sup3r$ecureLongPass!
jking,monkey
kallen,V3ryStr0ng#Phrase22
lyoung,football
mscott,P@ssw0rd2024!!
nturner,sunshine
ophelps,Gu4rd1an$Secur3
pquinn,login
rreyes,N0tCommon#Pass88
sstone,guest
tvance,D1ff1cult$Pwd2024
uunderwood,iloveyou
vvasquez,Ch4mpion$2024!
wwhite,letmein
xxavier,Fl4mingo&Trust99
yyoung,abc123
zzimmer,Ph03nix#Ris1ng!
aabbott,123456
bbrown,Kn1ght$Errant42
ccole,12345678
ddiaz,M0untain#Cl1mb!
eellis,password1
fford,Riv3r$Cross1ng
ggomez,administrator
hhayes,S1lentNight#Owl
iingram,123456789
jjensen,Th0rn&Ros3Bloom
kkane,password
llane,Br1ght$Futur3!
mmoore,1234567890
nnash,V0rtex#Sp1ral99
oowens,footbal
ppierce,Wh1sper$Wind42
qquail,dragon
rrivera,C0mmand&Contr0l!
ssalazar,short
ttate,L0ng&Str0ngPassphrase99
uupton,qwerty
vvargas,Cyb3r$Def3nse!
wward,monkey
xxu,Fort1fy&Prot3ct99
yyates,welcome
zzane,Sh1eld$Wall2024!
